number of wavelengths,   number of distance,   Av option
          11       1       1

filter name,   wavelength (micron),   flux (Jy),   nuF_nu (erg/s/cm2),   upper percentage error,   lower percentage error,   error option,   limit
I1      3.5999999  4.970000e-01  4.141667e-10      0.2160000      0.2160000      2      1
I2      4.5000000  1.240000e+00  8.266667e-10      0.1000000      0.1000000      2      1
I3      5.8000002  1.840000e+00  9.517241e-10      0.4340000      0.4340000      2      0
I4      8.0000000  3.220000e+00  1.207500e-09      0.5220000      0.5220000      2      0
F8     19.7000008  6.818000e+01  1.038274e-08      0.1800000      0.1800000      2      0
L1     31.5000000  5.528000e+02  5.264762e-08      0.1000000      0.1000000      2      0
L4     37.0999985  1.192500e+03  9.642858e-08      0.1000000      0.1000000      2      0
P1     70.0000000  2.627600e+03  1.126114e-07      0.1000000      0.1000000      2      0
P3    160.0000000  2.385600e+03  4.473000e-08      0.1760000      0.1760000      2      0
P5    350.0000000  4.286000e+02  3.673714e-09      0.3870000      0.3870000      2      1
P6    500.0000000  1.274000e+02  7.644000e-10      0.5360000      0.5360000      2      1

distance array (pc)
      2200.00
